length_deviation,thickness_deviation,heat_sink_gap,reflectance,version
25.5,17.5,7,0.266666667,A
24.5,15,7,0.266666667,A
23.5,16,6.5,0.266666667,A
23,15.5,7.5,0.266666667,A
25,18,7,0.266666667,A
27,19.5,8.5,0.333333333,A
23,17,7,0.3,A
25,17,7.5,0.266666667,A
22,14.5,7,0.266666667,A
24.5,15.5,7.5,0.233333333,A
27,18.5,7.5,0.266666667,A
24,17,8,0.266666667,A
24,15,7,0.233333333,A
21.5,15,5.5,0.233333333,A
29,20,6,0.266666667,A
28.5,22,7.5,0.333333333,A
27,19.5,6.5,0.333333333,A
25.5,17.5,7,0.3,A
28.5,19,8.5,0.3,A
25.5,19,7.5,0.3,A
27,17,8.5,0.266666667,A
25.5,18.5,7.5,0.333333333,A
23,18,5,0.266666667,A
25.5,16.5,8.5,0.366666667,A
24,17,9.5,0.266666667,A
25,15,8,0.266666667,A
25,17,8,0.333333333,A
26,17.5,7.5,0.266666667,A
26,17,7,0.266666667,A
23.5,16,8,0.266666667,A
24,15.5,8,0.266666667,A
27,17,7.5,0.333333333,A
26,20.5,7.5,0.233333333,A
27.5,21,7,0.266666667,A
24.5,15.5,7.5,0.233333333,A
25,16,6,0.266666667,A
27.5,17.5,6.5,0.266666667,A
24.5,15.5,7.5,0.233333333,A
22,15,6.5,0.266666667,A
25.5,17,7.5,0.266666667,A
25,17.5,6.5,0.3,A
22.5,11.5,6.5,0.3,A
22,16,6.5,0.266666667,A
25,17.5,8,0.4,A
25.5,19,9.5,0.333333333,A
24,15,7,0.3,A
25.5,19,8,0.266666667,A
23,16,7,0.266666667,A
26.5,18.5,7.5,0.266666667,A
25,16.5,7,0.266666667,A
35,16,23.5,0.666666667,B
32,16,22.5,0.7,B
34.5,15.5,24.5,0.7,B
27.5,11.5,20,0.633333333,B
32.5,14,23,0.7,B
28.5,14,22.5,0.633333333,B
31.5,16.5,23.5,0.733333333,B
24.5,12,16.5,0.533333333,B
33,14.5,23,0.633333333,B
26,13.5,19.5,0.666666667,B
25,10,17.5,0.533333333,B
29.5,15,21,0.7,B
30,11,20,0.533333333,B
30.5,14.5,23.5,0.666666667,B
28,14.5,18,0.633333333,B
33.5,15.5,22,0.666666667,B
28,15,22.5,0.7,B
29,13.5,20.5,0.533333333,B
31,11,22.5,0.7,B
28,12.5,19.5,0.566666667,B
29.5,16,24,0.8,B
30.5,14,20,0.633333333,B
31.5,12.5,24.5,0.7,B
30.5,14,23.5,0.6,B
32,14.5,21.5,0.633333333,B
33,15,22,0.666666667,B
34,14,24,0.666666667,B
33.5,15,25,0.766666667,B
30,14.5,22.5,0.7,B
28.5,13,17.5,0.533333333,B
27.5,12,19,0.566666667,B
27.5,12,18.5,0.533333333,B
29,13.5,19.5,0.6,B
30,13.5,25.5,0.733333333,B
27,15,22.5,0.7,B
30,17,22.5,0.733333333,B
33.5,15.5,23.5,0.7,B
31.5,11.5,22,0.633333333,B
28,15,20.5,0.633333333,B
27.5,12.5,20,0.633333333,B
27.5,13,22,0.6,B
30.5,15,23,0.666666667,B
29,13,20,0.6,B
25,11.5,16.5,0.533333333,B
28,13.5,21,0.633333333,B
28.5,15,21,0.6,B
28.5,14.5,21,0.633333333,B
31,14.5,21.5,0.633333333,B
25.5,12.5,15,0.566666667,B
28.5,14,20.5,0.633333333,B
31.5,16.5,30,1.033333333,C
29,13.5,25.5,0.833333333,C
35.5,15,29.5,0.9,C
31.5,14.5,28,0.8,C
32.5,15,29,0.933333333,C
38,15,33,0.9,C
24.5,12.5,22.5,0.766666667,C
36.5,14.5,31.5,0.8,C
33.5,12.5,29,0.8,C
36,18,30.5,1.033333333,C
32.5,16,25.5,0.866666667,C
32,13.5,26.5,0.833333333,C
34,15,27.5,0.9,C
28.5,12.5,25,0.866666667,C
29,14,25.5,1,C
32,16,26.5,0.966666667,C
32.5,15,27.5,0.8,C
38.5,19,33.5,0.933333333,C
38.5,13,34.5,0.966666667,C
30,11,25,0.7,C
34.5,16,28.5,0.966666667,C
28,14,24.5,0.866666667,C
38.5,14,33.5,0.866666667,C
31.5,13.5,24.5,0.8,C
33.5,16.5,28.5,0.9,C
36,16,30,0.8,C
31,14,24,0.8,C
30.5,15,24.5,0.8,C
32,14,28,0.9,C
36,15,29,0.733333333,C
37,14,30.5,0.833333333,C
39.5,19,32,0.866666667,C
32,14,28,0.933333333,C
31.5,14,25.5,0.7,C
30.5,13,28,0.666666667,C
38.5,15,30.5,0.966666667,C
31.5,17,28,1,C
32,15.5,27.5,0.8,C
30,15,24,0.8,C
34.5,15.5,27,0.9,C
33.5,15.5,28,1,C
34.5,15.5,25.5,0.966666667,C
29,13.5,25.5,0.833333333,C
34,16,29.5,0.966666667,C
33.5,16.5,28.5,1.033333333,C
33.5,15,26,0.966666667,C
31.5,12.5,25,0.833333333,C
32.5,15,26,0.866666667,C
31,17,27,0.966666667,C
29.5,15,25.5,0.8,C
